Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID,In-Person Look
371,11,Colton Ledbetter,TB,OF,2023,2025,23.4,319,-52,,*0689z*,Y
372,11,Nelson Rada,LAA,OF,2022,2027,19.6,320,-52,,*05yib*,
373,11,Braylin Morel,TEX,OF,2023,2027,19.2,321,-52,,*06dq5*,Y
374,11,Homer Bush Jr.,TB,OF,2023,2027,23.5,567,193,,*067xh*,Y
375,11,Ryan Bliss,SEA,2B,2021,Debuted,25.3,323,-52,,*05tc7*,
376,11,Sammy Stafura,CIN,SS,2023,2026,20.4,324,-52,,*06c1m*,
377,11,Edgleen Perez,NYY,C,2023,2027,18.8,381,4,,*06iej*,Y
378,11,Dillon Dingler,DET,C,2020,Debuted,26.5,326,-52,UP,*05gx4*,Y
379,11,Caleb Lomavita,WSH,C,2024,2026,22.4,415,36,,*06ibi*,Y
380,11,Engelth Urena,NYY,1B,2022,2026,20.6,416,36,,*066re*,Y
381,11,Mike Sirota,LAD,OF,2024,2026,21.8,431,50,,*066ip*,
382,11,Gavin Cross,KC,OF,2022,2025,24.1,432,50,,*05tcd*,Y
383,11,Pablo Guerrero,TEX,1B,2023,2026,18.7,327,-56,,*068z1*,
384,11,Andrew Salas,MIA,SS,2025,2029,17.1,328,-56,,*06psm*,
385,11,Maykel Coret,TB,OF,2025,2029,17.5,329,-56,,*06qhg*,
386,11,Arnaldo Lantigua,CIN,OF,2023,2027,19.3,528,142,,*066mp*,
387,11,Jadher Areinamo,MIL,"2B,SS",2021,2026,21.3,330,-57,,*062l0*,Y
388,11,Javier Sanoja,MIA,"OF,UT",2021,Debuted,22.6,331,-57,,*062ho*,
389,11,Brandon Clarke,BOS,SP,2024,2026,22,651,262,,*06qif*,Y
390,11,Paulino Santana,TEX,OF,2024,2027,18.4,333,-57,,*06ho7*,
391,11,Johnathan Rodriguez,CLE,OF,2016,Debuted,25.4,334,-57,,*04gdw*,
392,11,Yahil Melendez,CHC,SS,2023,2027,19.6,442,50,,*06fqw*,
393,11,Tytus Cissell,ARI,SS,2024,2027,19,367,-26,,*06q32*,
394,11,David Shields,KC,SP,2024,2027,18.6,396,2,,*06kke*,
395,11,Kyle Karros,COL,3B,2023,2025,22.7,336,-59,,*06dsa*,
396,11,Juneiker Caceres,CLE,OF,2024,2028,17.6,410,14,,*06mmx*,
397,11,Lucas Braun,ATL,SP,2023,2025,23.6,338,-59,,*06f18*,Y
398,11,Fernando Perez,TOR,SP,2022,2026,21.1,339,-59,,*06ek7*,
399,11,Joshua Kuroda-Grauer,ATH,SS,2024,2026,22.2,407,8,,*06nue*,
400,11,Ayden Johnson,ATH,SS,2025,2029,17.1,402,2,,*06qse*,
401,11,Franyerber Montilla,DET,"2B,SS",2022,2026,20,545,144,,*064og*,Y
402,11,Cory Lewis,MIN,SP,2022,2025,24.5,362,-40,,*060hm*,
403,11,Cameron Weston,BAL,SP,2022,2025,24.6,497,94,,*066b1*,Y
404,11,Trey Gregory-Alford,LAA,SP,2024,2027,18.9,535,131,,*06kk7*,
405,11,Jose Perdomo,ATL,SS,2024,2027,18.5,265,-140,,*067z8*,
406,11,Stiven Martinez,BAL,OF,2024,2027,17.6,634,228,,*06jh5*,Y
407,11,Dylan Dreiling,TEX,OF,2024,2026,22,343,-64,,*06kk8*,
408,11,Will Johnston,ATH,SP,2023,2026,24.3,684,276,,*06hvd*,
409,11,Gabriel Rodriguez,CLE,SS,2024,2028,17.9,346,-63,,*06jgx*,
410,11,Griff O'Ferrall,BAL,SS,2024,2026,22.2,347,-63,,*062k7*,Y
411,11,Chase Harlan,LAD,3B,2024,2027,18.7,421,10,,*06kjz*,
412,11,Brandon Birdsell,CHC,SP,2022,2025,25,349,-63,,*05jr4*,
413,11,Dante Nori,PHI,OF,2024,2027,20.5,350,-63,,*06ien*,
414,11,Jesus Rodriguez,NYY,"C,3B",2018,2025,22.9,594,180,,*052h8*,Y
415,11,Cooper Hjerpe,STL,SP,2022,2025,24,351,-64,,*05yef*,Y
